Canonical URI,Lexical alias (English)
rdau:P60110,rdau:adaptedAsAMotionPicture.en
rdau:P60111,rdau:dubbedVersionOf.en
rdau:P60112,rdau:dubbedVersion.en
rdau:P60113,rdau:cadenza.en
rdau:P60114,rdau:variationsBasedOn.en
rdau:P60115,rdau:modifiedByVariationAs.en
rdau:P60116,rdau:cadenzaComposedFor.en
rdau:P60117,rdau:librettoFor.en
rdau:P60118,rdau:incidentalMusic.en
rdau:P60119,rdau:variantNameForTheAgent.en
rdau:P60120,rdau:remadeAs.en
rdau:P60121,rdau:setToMusicAs.en
rdau:P60122,rdau:noteOnIssuePartOrIterationUsedAsTheBasisForIdentificationOfTheResource.en
rdau:P60123,rdau:noteOnChangesInContentCharacteristics.en
rdau:P60124,rdau:noteOnChangesInCarrierCharacteristics.en
rdau:P60125,rdau:noteOnDistributionStatement.en
rdau:P60126,rdau:noteOnManufactureStatement.en
rdau:P60127,rdau:noteOnProductionStatement.en
rdau:P60128,rdau:noteOnPublicationStatement.en
rdau:P60129,rdau:noteOnFrequency.en
rdau:P60130,rdau:noteOnStatementOfResponsibility.en
rdau:P60131,rdau:noteOnSeriesStatement.en
rdau:P60132,rdau:noteOnCopyrightDate.en
rdau:P60133,rdau:noteOnDimensionsOfResource.en
rdau:P60134,rdau:noteOnExtentOfResource.en
rdau:P60135,rdau:noteOnNumberingOfSerials.en
rdau:P60136,rdau:noteOnTitle.en
rdau:P60137,rdau:noteOnEditionStatement.en
rdau:P60138,rdau:adaptedAsNovel.en
rdau:P60139,rdau:publishersNumberForMusic.en
rdau:P60140,rdau:plateNumberForMusic.en
rdau:P60141,rdau:conductor.en
rdau:P60142,rdau:actor.en
rdau:P60143,rdau:onScreenPresenter.en
rdau:P60144,rdau:dancer.en
rdau:P60145,rdau:teacher.en
rdau:P60146,rdau:host.en
rdau:P60147,rdau:moderator.en
rdau:P60148,rdau:puppeteer.en
rdau:P60149,rdau:panelist.en
rdau:P60150,rdau:instrumentalist.en
rdau:P60151,rdau:commentator.en
rdau:P60152,rdau:voiceActor.en
rdau:P60153,rdau:narrator.en
rdau:P60154,rdau:storyteller.en
rdau:P60155,rdau:speaker.en
rdau:P60156,rdau:singer.en
rdau:P60157,rdau:medium.en
rdau:P60159,rdau:appliedMaterial.en
rdau:P60160,rdau:placeOfDistribution.en
rdau:P60161,rdau:placeOfProduction.en
rdau:P60162,rdau:placeOfManufacture.en
rdau:P60163,rdau:placeOfPublication.en
rdau:P60164,rdau:parallelPlaceOfDistribution.en
rdau:P60165,rdau:parallelPlaceOfManufacture.en
rdau:P60166,rdau:parallelPlaceOfProduction.en
rdau:P60167,rdau:parallelPlaceOfPublication.en
rdau:P60168,rdau:reprintOf.en
rdau:P60169,rdau:filmProducer.en
rdau:P60170,rdau:radioProducer.en
rdau:P60171,rdau:televisionProducer.en
rdau:P60172,rdau:parallelProducersName.en
rdau:P60173,rdau:parallelPublishersName.en
rdau:P60174,rdau:adaptedAsARadioProgram.en
rdau:P60175,rdau:academicDegree.en
rdau:P60176,rdau:custodialHistoryOfResource.en
rdau:P60177,rdau:abstractedIn.en
rdau:P60178,rdau:indexedIn.en
rdau:P60179,rdau:preservationFacsimile.en
rdau:P60180,rdau:adaptedAsChoreography.en
rdau:P60181,rdau:errata.en
rdau:P60182,rdau:illustrations.en
rdau:P60183,rdau:insert.en
rdau:P60184,rdau:adaptedAsAMotionPictureScreenplay.en
rdau:P60185,rdau:adaptedAsAScreenplay.en
rdau:P60186,rdau:adaptedAsATelevisionScreenplay.en
rdau:P60187,rdau:adaptedAsAVideoScreenplay.en
rdau:P60188,rdau:adaptedAsARadioScript.en
rdau:P60189,rdau:freelyTranslatedAs.en
rdau:P60190,rdau:descriptionOf.en
rdau:P60191,rdau:equivalent.en
rdau:P60192,rdau:subseriesOf.en
rdau:P60193,rdau:inSeries.en
rdau:P60194,rdau:insertedIn.en
rdau:P60195,rdau:alsoIssuedAs.en
rdau:P60196,rdau:accompaniedBy.en
rdau:P60197,rdau:mirrorSite.en
rdau:P60198,rdau:complementedBy.en
rdau:P60199,rdau:continuedInPartBy.en
rdau:P60200,rdau:digitalTransfer.en
rdau:P60201,rdau:screenplayFor.en
rdau:P60202,rdau:incidentalMusicFor.en
rdau:P60203,rdau:abstractedAs.en
rdau:P60204,rdau:augmentedBy.en
rdau:P60205,rdau:summarizedAs.en
rdau:P60206,rdau:catalogue.en
rdau:P60207,rdau:specialIssue.en
rdau:P60208,rdau:concordance.en
rdau:P60209,rdau:addenda.en
rdau:P60210,rdau:adaptedAsLibretto.en
rdau:P60211,rdau:reviewedIn.en
rdau:P60212,rdau:critiquedIn.en
rdau:P60213,rdau:commentaryIn.en
rdau:P60214,rdau:imitatedAs.en
rdau:P60215,rdau:describedIn.en
rdau:P60216,rdau:expandedAs.en
rdau:P60217,rdau:facsimile.en
rdau:P60218,rdau:evaluatedIn.en
rdau:P60219,rdau:analysedIn.en
rdau:P60220,rdau:prequel.en
rdau:P60221,rdau:appendix.en
rdau:P60222,rdau:guide.en
rdau:P60223,rdau:abridgementOf.en
rdau:P60224,rdau:abstractOf.en
rdau:P60225,rdau:dramatizationOf.en
rdau:P60226,rdau:verseAdaptationOf.en
rdau:P60227,rdau:motionPictureAdaptationOf.en
rdau:P60228,rdau:novelizationOf.en
rdau:P60229,rdau:radioAdaptationOf.en
rdau:P60230,rdau:televisionAdaptationOf.en
rdau:P60231,rdau:screenplayBasedOn.en
rdau:P60232,rdau:motionPictureScreenplayBasedOn.en
rdau:P60233,rdau:televisionScreenplayBasedOn.en
rdau:P60234,rdau:videoScreenplayBasedOn.en
rdau:P60235,rdau:radioScriptBasedOn.en
rdau:P60236,rdau:videoAdaptationOf.en
rdau:P60237,rdau:boundWith.en
rdau:P60238,rdau:digestOf.en
rdau:P60239,rdau:analysisOf.en
rdau:P60240,rdau:seriesContainerOf.en
rdau:P60241,rdau:adaptationOf.en
rdau:P60242,rdau:arrangementOf.en
rdau:P60243,rdau:freeTranslationOf.en
rdau:P60244,rdau:translationOf.en
rdau:P60245,rdau:revisedAs.en
rdau:P60246,rdau:parodiedAs.en
rdau:P60247,rdau:absorbedBy.en
rdau:P60248,rdau:absorbedInPartBy.en
rdau:P60249,rdau:containerOf.en
rdau:P60250,rdau:derivative.en
rdau:P60251,rdau:errataTo.en
rdau:P60252,rdau:guideTo.en
rdau:P60253,rdau:appendixTo.en
rdau:P60254,rdau:illustrationsFor.en
rdau:P60255,rdau:evaluationOf.en
rdau:P60256,rdau:issuedWith.en
rdau:P60257,rdau:onDiscWith.en
rdau:P60258,rdau:filmedWith.en
rdau:P60259,rdau:supplementTo.en
rdau:P60260,rdau:adaptedAs.en
rdau:P60261,rdau:precededBy.en
rdau:P60262,rdau:findingAid.en
rdau:P60263,rdau:index.en
rdau:P60264,rdau:screenplay.en
rdau:P60265,rdau:motionPictureScreenplay.en
rdau:P60266,rdau:musicalSettingOf.en
rdau:P60267,rdau:radioScript.en
rdau:P60268,rdau:televisionScreenplay.en
rdau:P60269,rdau:videoScreenplay.en
rdau:P60270,rdau:libretto.en
rdau:P60271,rdau:reprintedAs.en
rdau:P60272,rdau:reproducedAs.en
rdau:P60273,rdau:paraphrasedAs.en
rdau:P60274,rdau:arrangedAs.en
rdau:P60275,rdau:abridgedAs.en
rdau:P60276,rdau:continuationInPartOf.en
rdau:P60277,rdau:separatedFrom.en
rdau:P60278,rdau:succeededBy.en
rdau:P60279,rdau:digestedAs.en
rdau:P60280,rdau:translatedAs.en
rdau:P60281,rdau:supplement.en
rdau:P60282,rdau:screenplayForTheMotionPicture.en
rdau:P60283,rdau:screenplayForTheTelevisionProgram.en
rdau:P60284,rdau:screenplayForTheVideo.en
rdau:P60285,rdau:scriptForTheRadioProgram.en
rdau:P60286,rdau:addendaTo.en
rdau:P60287,rdau:digitalTransferOf.en
rdau:P60288,rdau:reviewOf.en
rdau:P60289,rdau:summaryOf.en
rdau:P60290,rdau:catalogueOf.en
rdau:P60291,rdau:concordanceTo.en
rdau:P60292,rdau:critiqueOf.en
rdau:P60293,rdau:choreographicAdaptationOf.en
rdau:P60294,rdau:expandedVersionOf.en
rdau:P60295,rdau:remakeOf.en
rdau:P60296,rdau:paraphraseOf.en
rdau:P60297,rdau:reproductionOf.en
rdau:P60298,rdau:commentaryOn.en
rdau:P60299,rdau:preservationFacsimileOf.en
rdau:P60300,rdau:facsimileContainerOf.en
rdau:P60301,rdau:facsimileOf.en
rdau:P60302,rdau:indexTo.en
rdau:P60303,rdau:revisionOf.en
rdau:P60304,rdau:librettoBasedOn.en
rdau:P60305,rdau:basedOn.en
rdau:P60306,rdau:continuedBy.en
rdau:P60307,rdau:augmentationOf.en
rdau:P60308,rdau:abstractsFor.en
rdau:P60309,rdau:indexingFor.en
rdau:P60310,rdau:prequelTo.en
rdau:P60311,rdau:imitationOf.en
rdau:P60312,rdau:parodyOf.en
rdau:P60313,rdau:relatedResource.en
rdau:P60314,rdau:encodingFormat.en
rdau:P60315,rdau:numericDesignationOfAMusicalResource.en
rdau:P60316,rdau:subseries.en
rdau:P60317,rdau:specialIssueOf.en
rdau:P60318,rdau:formOfTactileNotation.en
rdau:P60319,rdau:formOfNotation.en
rdau:P60320,rdau:formOfNotatedMovement.en
rdau:P60321,rdau:formOfMusicalNotation.en
rdau:P60322,rdau:script.en
rdau:P60323,rdau:digitalRepresentationOfCartographicContent.en
rdau:P60324,rdau:dateAssociatedWithTheAgent.en
rdau:P60325,rdau:placeAssociatedWithTheAgent.en
rdau:P60326,rdau:videoFormat.en
rdau:P60327,rdau:statementOfResponsibilityRelatingToTitleProper.en
rdau:P60328,rdau:seriesStatement.en
rdau:P60329,rdau:editionStatement.en
rdau:P60330,rdau:distributionStatement.en
rdau:P60331,rdau:manufactureStatement.en
rdau:P60332,rdau:productionStatement.en
rdau:P60333,rdau:publicationStatement.en
rdau:P60334,rdau:parallelStatementOfResponsibilityRelatingToANamedRevisionOfAnEdition.en
rdau:P60335,rdau:parallelStatementOfResponsibilityRelatingToSeries.en
rdau:P60336,rdau:parallelStatementOfResponsibilityRelatingToSubseries.en
rdau:P60337,rdau:parallelStatementOfResponsibilityRelatingToTheEdition.en
rdau:P60338,rdau:parallelStatementOfResponsibilityRelatingToTitleProper.en
rdau:P60339,rdau:statementOfResponsibility.en
rdau:P60340,rdau:statementOfResponsibilityRelatingToANamedRevisionOfAnEdition.en
rdau:P60341,rdau:statementOfResponsibilityRelatingToSeries.en
rdau:P60342,rdau:statementOfResponsibilityRelatingToSubseries.en
rdau:P60343,rdau:statementOfResponsibilityRelatingToTheEdition.en
rdau:P60344,rdau:emulsionOnMicrofilmAndMicrofiche.en
rdau:P60345,rdau:longitudeAndLatitude.en
rdau:P60346,rdau:rightAscensionAndDeclination.en
rdau:P60347,rdau:stringsOfCoordinatePairs.en
rdau:P60348,rdau:systemOfOrganization.en
rdau:P60349,rdau:broadcastStandard.en
rdau:P60350,rdau:digitalFileCharacteristic.en
rdau:P60351,rdau:soundCharacteristic.en
rdau:P60352,rdau:videoCharacteristic.en
rdau:P60353,rdau:projectionCharacteristicOfMotionPictureFilm.en
rdau:P60354,rdau:adaptedAsATelevisionProgram.en
rdau:P60355,rdau:variantTitle.en
rdau:P60356,rdau:hereditaryTitle.en
rdau:P60357,rdau:laterTitleProper.en
rdau:P60358,rdau:earlierTitleProper.en
rdau:P60359,rdau:abbreviatedTitle.en
rdau:P60360,rdau:placeOfResidenceEtc.en
rdau:P60361,rdau:adaptedAsAVideo.en
rdau:P60362,rdau:prominentMemberOfTheFamily.en
rdau:P60363,rdau:titleOfTheAgent.en
rdau:P60364,rdau:designationOfANamedRevisionOfAnEdition.en
rdau:P60365,rdau:designationOfEdition.en
rdau:P60366,rdau:nameOfAPlace.en
rdau:P60367,rdau:titleOfTheResource.en
rdau:P60368,rdau:nameOfTheAgent.en
rdau:P60369,rdau:title.en
rdau:P60370,rdau:otherDesignationAssociatedWithTheAgent.en
rdau:P60371,rdau:writerOfAddedLyrics.en
rdau:P60372,rdau:summarizationOfTheContent.en
rdau:P60373,rdau:appellee.en
rdau:P60374,rdau:otherAgentAssociatedWithAResource.en
rdau:P60375,rdau:dedicator.en
rdau:P60376,rdau:curator.en
rdau:P60377,rdau:surveyor.en
rdau:P60378,rdau:animator.en
rdau:P60379,rdau:arrangerOfMusic.en
rdau:P60380,rdau:writerOfAddedText.en
rdau:P60381,rdau:draftsman.en
rdau:P60382,rdau:transcriber.en
rdau:P60383,rdau:musicalDirector.en
rdau:P60384,rdau:costumeDesigner.en
rdau:P60385,rdau:translator.en
rdau:P60386,rdau:artDirector.en
rdau:P60387,rdau:performer.en
rdau:P60388,rdau:courtReporter.en
rdau:P60389,rdau:writerOfPreface.en
rdau:P60390,rdau:writerOfAddedCommentary.en
rdau:P60391,rdau:writerOfIntroduction.en
rdau:P60392,rdau:writerOfSupplementaryTextualContent.en
rdau:P60393,rdau:editor.en
rdau:P60394,rdau:abridger.en
rdau:P60395,rdau:recordingEngineer.en
rdau:P60396,rdau:illustrator.en
rdau:P60397,rdau:recordist.en
rdau:P60398,rdau:contributor.en
rdau:P60399,rdau:stageDirector.en
rdau:P60400,rdau:currentOwner.en
rdau:P60401,rdau:formerOwner.en
rdau:P60402,rdau:custodian.en
rdau:P60404,rdau:owner.en
rdau:P60406,rdau:honouree.en
rdau:P60407,rdau:broadcaster.en
rdau:P60408,rdau:filmDistributor.en
rdau:P60409,rdau:bookDesigner.en
rdau:P60410,rdau:engraver.en
rdau:P60411,rdau:brailleEmbosser.en
rdau:P60412,rdau:printmaker.en
rdau:P60413,rdau:caster.en
rdau:P60414,rdau:lithographer.en
rdau:P60415,rdau:platemaker.en
rdau:P60416,rdau:etcher.en
rdau:P60417,rdau:collotyper.en
rdau:P60418,rdau:printer.en
rdau:P60419,rdau:presenter.en
rdau:P60420,rdau:degreeSupervisor.en
rdau:P60421,rdau:illuminator.en
rdau:P60422,rdau:editorOfMovingImageResource.en
rdau:P60423,rdau:programmer.en
rdau:P60424,rdau:designer.en
rdau:P60425,rdau:cartographer.en
rdau:P60426,rdau:composer.en
rdau:P60427,rdau:inventor.en
rdau:P60428,rdau:compiler.en
rdau:P60429,rdau:photographer.en
rdau:P60430,rdau:interviewer.en
rdau:P60431,rdau:artist.en
rdau:P60432,rdau:interviewee.en
rdau:P60433,rdau:choreographer.en
rdau:P60434,rdau:author.en
rdau:P60435,rdau:architect.en
rdau:P60436,rdau:filmmaker.en
rdau:P60437,rdau:productionDesigner.en
rdau:P60438,rdau:distributor.en
rdau:P60440,rdau:producerOfAnUnpublishedResource.en
rdau:P60441,rdau:producer.en
rdau:P60443,rdau:manufacturer.en
rdau:P60444,rdau:publisher.en
rdau:P60446,rdau:minuteTaker.en
rdau:P60447,rdau:creator.en
rdau:P60449,rdau:director.en
rdau:P60450,rdau:restorationist.en
rdau:P60451,rdau:sponsoringBody.en
rdau:P60452,rdau:directorOfPhotography.en
rdau:P60454,rdau:relatedAgent.en
rdau:P60455,rdau:dedicatee.en
rdau:P60456,rdau:addressee.en
rdau:P60457,rdau:appellant.en
rdau:P60458,rdau:binder.en
rdau:P60459,rdau:plaintiff.en
rdau:P60460,rdau:inscriber.en
rdau:P60461,rdau:judge.en
rdau:P60462,rdau:defendant.en
rdau:P60463,rdau:praeses.en
rdau:P60464,rdau:annotator.en
rdau:P60465,rdau:consultant.en
rdau:P60466,rdau:autographer.en
rdau:P60467,rdau:issuingBody.en
rdau:P60468,rdau:professionOrOccupation.en
rdau:P60469,rdau:electronicReproductionOf.en
rdau:P60470,rdau:noteOnResource.en
rdau:P60472,rdau:epoch.en
rdau:P60473,rdau:landscapeArchitect.en
rdau:P60474,rdau:findingAidFor.en
rdau:P60475,rdau:sculptor.en
rdau:P60476,rdau:screenwriter.en
rdau:P60477,rdau:lyricist.en
rdau:P60478,rdau:librettist.en
rdau:P60479,rdau:replacementInPartOf.en
rdau:P60480,rdau:replacementOf.en
rdau:P60481,rdau:specialPlaybackCharacteristic.en
rdau:P60482,rdau:associatedInstitution.en
rdau:P60483,rdau:grantingInstitutionOrFaculty.en
rdau:P60484,rdau:agentHistory.en
rdau:P60485,rdau:supplementaryContent.en
rdau:P60486,rdau:illustrativeContent.en
rdau:P60487,rdau:accessibilityContent.en
rdau:P60488,rdau:formatOfNotatedMusic.en
rdau:P60489,rdau:dissertationOrThesisInformation.en
rdau:P60490,rdau:contactInformation.en
rdau:P60491,rdau:historyOfTheResource.en
rdau:P60492,rdau:biographicalInformation.en
rdau:P60493,rdau:otherTitleInformation.en
rdau:P60494,rdau:otherTitleInformationOfSeries.en
rdau:P60495,rdau:otherTitleInformationOfSubseries.en
rdau:P60496,rdau:restrictionsOnAccess.en
rdau:P60497,rdau:restrictionsOnUse.en
rdau:P60498,rdau:otherDetailsOfCartographicContent.en
rdau:P60499,rdau:numericAndOrAlphabeticDesignationOfFirstIssueOrPartOfSequence.en
rdau:P60500,rdau:numericAndOrAlphabeticDesignationOfLastIssueOrPartOfSequence.en
rdau:P60501,rdau:chronologicalDesignationOfFirstIssueOrPartOfSequence.en
rdau:P60502,rdau:chronologicalDesignationOfLastIssueOrPartOfSequence.en
rdau:P60503,rdau:splitInto.en
rdau:P60504,rdau:mergedToForm.en
rdau:P60505,rdau:mergerOf.en
rdau:P60506,rdau:equinox.en
rdau:P60507,rdau:parallelOtherTitleInformation.en
rdau:P60508,rdau:parallelOtherTitleInformationOfSeries.en
rdau:P60509,rdau:parallelOtherTitleInformationOfSubseries.en
rdau:P60510,rdau:additionalScaleInformation.en
rdau:P60511,rdau:uniformResourceLocator.en
rdau:P60512,rdau:addressOfTheAgent.en
rdau:P60513,rdau:layout.en
rdau:P60514,rdau:yearDegreeGranted.en
rdau:P60515,rdau:titleProper.en
rdau:P60516,rdau:titleProperOfSeries.en
rdau:P60517,rdau:titleProperOfSubseries.en
rdau:P60518,rdau:coverageOfTheContent.en
rdau:P60519,rdau:resolution.en
rdau:P60520,rdau:intendedAudience.en
rdau:P60521,rdau:termsOfAvailability.en
rdau:P60522,rdau:trackConfiguration.en
rdau:P60523,rdau:placeOfOriginOfTheResource.en
rdau:P60524,rdau:dateOfEstablishment.en
rdau:P60525,rdau:dateOfTermination.en
rdau:P60526,rdau:dateOfConferenceEtc.en
rdau:P60527,rdau:dateOfResource.en
rdau:P60528,rdau:equipmentOrSystemRequirement.en
rdau:P60529,rdau:presentationFormat.en
rdau:P60530,rdau:fullerFormOfName.en
rdau:P60531,rdau:gender.en
rdau:P60532,rdau:grooveCharacteristic.en
rdau:P60533,rdau:numberingOfSerials.en
rdau:P60534,rdau:issnOfSeries.en
rdau:P60535,rdau:issnOfSubseries.en
rdau:P60536,rdau:mediumOfPerformance.en
rdau:P60537,rdau:mediumOfPerformanceOfMusicalContent.en
rdau:P60538,rdau:frequency.en
rdau:P60539,rdau:dimensions.en
rdau:P60540,rdau:dimensionsOfMapEtc.en
rdau:P60541,rdau:dimensionsOfStillImage.en
rdau:P60542,rdau:projectionOfCartographicContent.en
rdau:P60543,rdau:typeOfRecording.en
rdau:P60544,rdau:distributorsName.en
rdau:P60545,rdau:producersName.en
rdau:P60546,rdau:manufacturersName.en
rdau:P60547,rdau:publishersName.en
rdau:P60548,rdau:preferredNameOfAPlace.en
rdau:P60549,rdau:preferredNameForTheAgent.en
rdau:P60550,rdau:extent.en
rdau:P60551,rdau:fileSize.en
rdau:P60552,rdau:configurationOfPlaybackChannels.en
rdau:P60553,rdau:tapeConfiguration.en
rdau:P60554,rdau:mount.en
rdau:P60555,rdau:placeAndDateOfCapture.en
rdau:P60556,rdau:placeOfCapture.en
rdau:P60557,rdau:duration.en
rdau:P60558,rdau:colourContent.en
rdau:P60559,rdau:soundContent.en
rdau:P60560,rdau:productionMethod.en
rdau:P60563,rdau:horizontalScaleOfCartographicContent.en
rdau:P60564,rdau:scaleOfStillImageOrThreeDimensionalForm.en
rdau:P60565,rdau:scale.en
rdau:P60566,rdau:aspectRatio.en
rdau:P60568,rdau:generation.en
rdau:P60573,rdau:polarity.en
rdau:P60574,rdau:absorptionOf.en
rdau:P60575,rdau:absorptionInPartOf.en
rdau:P60576,rdau:continuationOf.en
rdau:P60577,rdau:sequelTo.en
rdau:P60578,rdau:bookFormat.en
rdau:P60579,rdau:verticalScaleOfCartographicContent.en
rdau:P60580,rdau:key.en
rdau:P60581,rdau:reductionRatio.en
rdau:P60582,rdau:fontSize.en
rdau:P60583,rdau:immediateSourceOfAcquisitionOfResource.en
rdau:P60584,rdau:natureOfTheContent.en
rdau:P60585,rdau:projectionSpeed.en
rdau:P60586,rdau:playingSpeed.en
rdau:P60587,rdau:encodedBitrate.en
rdau:P60588,rdau:preferredTitleForTheResource.en
rdau:P60589,rdau:parallelTitleProper.en
rdau:P60590,rdau:parallelTitleProperOfSeries.en
rdau:P60591,rdau:parallelTitleProperOfSubseries.en
rdau:P60592,rdau:placeOfDeath.en
rdau:P60593,rdau:placeOfBirth.en
rdau:P60594,rdau:recordingMedium.en
rdau:P60596,rdau:baseMaterial.en
rdau:P60597,rdau:keyTitle.en
rdau:P60598,rdau:dateOfDeath.en
rdau:P60599,rdau:dateOfBirth.en
rdau:P60600,rdau:writerOfAddedLyricsOf.en
rdau:P60601,rdau:appelleeOf.en
rdau:P60602,rdau:otherAgentAssociatedWithAResourceOf.en
rdau:P60603,rdau:dedicatorOf.en
rdau:P60604,rdau:curatorOf.en
rdau:P60605,rdau:surveyorOf.en
rdau:P60606,rdau:animatorOf.en
rdau:P60607,rdau:arrangerOfMusicOf.en
rdau:P60608,rdau:writerOfAddedTextOf.en
rdau:P60609,rdau:draftsmanOf.en
rdau:P60610,rdau:transcriberOf.en
rdau:P60611,rdau:musicalDirectorOf.en
rdau:P60612,rdau:costumeDesignerOf.en
rdau:P60613,rdau:translatorOf.en
rdau:P60614,rdau:artDirectorOf.en
rdau:P60615,rdau:performerOf.en
rdau:P60616,rdau:courtReporterOf.en
rdau:P60617,rdau:writerOfPrefaceOf.en
rdau:P60618,rdau:writerOfAddedCommentaryOf.en
rdau:P60619,rdau:writerOfIntroductionOf.en
rdau:P60620,rdau:writerOfSupplementaryTextualContentOf.en
rdau:P60621,rdau:editorOf.en
rdau:P60622,rdau:abridgerOf.en
rdau:P60623,rdau:recordingEngineerOf.en
rdau:P60624,rdau:illustratorOf.en
rdau:P60625,rdau:recordistOf.en
rdau:P60626,rdau:contributorOf.en
rdau:P60627,rdau:stageDirectorOf.en
rdau:P60628,rdau:currentOwnerOf.en
rdau:P60629,rdau:employee.en
rdau:P60630,rdau:formerOwnerOf.en
rdau:P60631,rdau:custodianOf.en
rdau:P60632,rdau:ownerOf.en
rdau:P60633,rdau:officer.en
rdau:P60634,rdau:honoureeOf.en
rdau:P60635,rdau:broadcasterOf.en
rdau:P60636,rdau:filmDistributorOf.en
rdau:P60637,rdau:bookDesignerOf.en
rdau:P60638,rdau:engraverOf.en
rdau:P60639,rdau:brailleEmbosserOf.en
rdau:P60640,rdau:printmakerOf.en
rdau:P60641,rdau:casterOf.en
rdau:P60642,rdau:lithographerOf.en
rdau:P60643,rdau:platemakerOf.en
rdau:P60644,rdau:etcherOf.en
rdau:P60645,rdau:collotyperOf.en
rdau:P60646,rdau:printerOf.en
rdau:P60647,rdau:presenterOf.en
rdau:P60648,rdau:memberOf.en
