rdaa:P50122,rdaa:appellantPersonOf,,,,,,,,,,,,,,,,
rdaa:P50123,rdaa:binderOf,,,,,,,,,,,,,,,,
rdaa:P50124,rdaa:plaintiffPersonOf,,,,,,,,,,,,,,,,
rdaa:P50125,rdaa:inscriberOf,,,,,,,,,,,,,,,,
rdaa:P50126,rdaa:judgeOf,,,,,,,,,,,,,,,,
rdaa:P50127,rdaa:praesesOf,,,,,,,,,,,,,,,,
rdaa:P50128,rdaa:annotatorOf,,,,,,,,,,,,,,,,
rdaa:P50129,rdaa:autographerOf,,,,,,,,,,,,,,,,
rdaa:P50130,rdaa:issuingBodyOf,,,,,,,,,,,,,,,,
rdaa:P50131,rdaa:otherPFCWorkOf,,,,,,,,,,,,,,,,
rdaa:P50132,rdaa:dedicatorOf,,,,,,,,,,,,,,,,
rdaa:P50133,rdaa:curatorOf,,,,,,,,,,,,,,,,
rdaa:P50134,rdaa:composerExpressionOf,,,,,,,,,,,,,,,,
rdaa:P50135,rdaa:surveyorOf,,,,,,,,,,,,,,,,
rdaa:P50136,rdaa:animatorOf,,,,,,,,,,,,,,,,
rdaa:P50137,rdaa:arrangerOfMusicOf,,,,,,,,,,,,,,,,
rdaa:P50138,rdaa:writerOfAddedTextOf,,,,,,,,,,,,,,,,
rdaa:P50139,rdaa:stageDirectorOf,,,,,,,,,,,,,,,,
rdaa:P50140,rdaa:interviewerExpressionOf,,,,,,,,,,,,,,,,
rdaa:P50141,rdaa:draftsmanOf,,,,,,,,,,,,,,,,
rdaa:P50142,rdaa:transcriberOf,,,,,,,,,,,,,,,,
rdaa:P50143,rdaa:musicalDirectorOf,,,,,,,,,,,,,,,,
rdaa:P50144,rdaa:costumeDesignerOf,,,,,,,,,,,,,,,,
rdaa:P50145,rdaa:translatorOf,,,,,,,,,,,,,,,,
rdaa:P50146,rdaa:artDirectorOf,,,,,,,,,,,,,,,,
rdaa:P50147,rdaa:performerOf,,,,,,,,,,,,,,,,
rdaa:P50148,rdaa:courtReporterOf,,,,,,,,,,,,,,,,
rdaa:P50149,rdaa:writerOfPrefaceOf,,,,,,,,,,,,,,,,
rdaa:P50150,rdaa:cartographerExpressionOf,,,,,,,,,,,,,,,,
rdaa:P50151,rdaa:choreographerExpressionOf,,,,,,,,,,,,,,,,
rdaa:P50152,rdaa:writerOfAddedCommentaryOf,,,,,,,,,,,,,,,,
rdaa:P50153,rdaa:writerOfIntroductionOf,,,,,,,,,,,,,,,,
rdaa:P50154,rdaa:writerOfSupplementaryTextualContentOf,,,,,,,,,,,,,,,,
rdaa:P50155,rdaa:intervieweeExpressionOf,,,,,,,,,,,,,,,,
rdaa:P50156,rdaa:editorOf,,,,,,,,,,,,,,,,
rdaa:P50157,rdaa:abridgerOf,,,,,,,,,,,,,,,,
rdaa:P50158,rdaa:recordingEngineerOf,,,,,,,,,,,,,,,,
rdaa:P50159,rdaa:illustratorOf,,,,,,,,,,,,,,,,
rdaa:P50160,rdaa:recordistOf,,,,,,,,,,,,,,,,
rdaa:P50161,rdaa:contributorOf,,,,,,,,,,,,,,,,
rdaa:P50162,rdaa:currentOwnerOf,,,,,,,,,,,,,,,,
rdaa:P50163,rdaa:formerOwnerOf,,,,,,,,,,,,,,,,
rdaa:P50164,rdaa:custodianOf,,,,,,,,,,,,,,,,
rdaa:P50165,rdaa:ownerOf,,,,,,,,,,,,,,,,
rdaa:P50166,rdaa:honoureeOf,,,,,,,,,,,,,,,,
rdaa:P50167,rdaa:honoureeOfItemOf,,,,,,,,,,,,,,,,
rdaa:P50168,rdaa:broadcasterOf,,,,,,,,,,,,,,,,
rdaa:P50169,rdaa:filmDistributorOf,,,,,,,,,,,,,,,,
rdaa:P50170,rdaa:bookDesignerOf,,,,,,,,,,,,,,,,
rdaa:P50171,rdaa:engraverOf,,,,,,,,,,,,,,,,
rdaa:P50172,rdaa:brailleEmbosserOf,,,,,,,,,,,,,,,,
rdaa:P50173,rdaa:printmakerOf,,,,,,,,,,,,,,,,
rdaa:P50174,rdaa:casterOf,,,,,,,,,,,,,,,,
rdaa:P50175,rdaa:lithographerOf,,,,,,,,,,,,,,,,
rdaa:P50176,rdaa:platemakerOf,,,,,,,,,,,,,,,,
rdaa:P50177,rdaa:etcherOf,,,,,,,,,,,,,,,,
rdaa:P50178,rdaa:collotyperOf,,,,,,,,,,,,,,,,
rdaa:P50179,rdaa:printerOf,,,,,,,,,,,,,,,,
rdaa:P50180,rdaa:presenterOf,,,,,,,,,,,,,,,,
rdaa:P50181,rdaa:otherPFCManifestationOf,,,,,,,,,,,,,,,,
rdaa:P50182,rdaa:otherPFCItemOf,,,,,,,,,,,,,,,,
rdaa:P50183,rdaa:editorOfMovingImageWorkOf,,,,,,,,,,,,,,,,
rdaa:P50184,rdaa:programmerOf,,,,,,,,,,,,,,,,
rdaa:P50185,rdaa:designerOf,,,,,,,,,,,,,,,,
rdaa:P50186,rdaa:cartographerOf,,,,,,,,,,,,,,,,
rdaa:P50187,rdaa:composerOf,,,,,,,,,,,,,,,,
rdaa:P50188,rdaa:inventorOf,,,,,,,,,,,,,,,,
rdaa:P50189,rdaa:compilerOf,,,,,,,,,,,,,,,,
rdaa:P50190,rdaa:photographerOf,,,,,,,,,,,,,,,,
rdaa:P50191,rdaa:interviewerOf,,,,,,,,,,,,,,,,
rdaa:P50192,rdaa:artistOf,,,,,,,,,,,,,,,,
rdaa:P50193,rdaa:intervieweeOf,,,,,,,,,,,,,,,,
rdaa:P50194,rdaa:choreographerOf,,,,,,,,,,,,,,,,
rdaa:P50195,rdaa:authorOf,,,,,,,,,,,,,,,,
rdaa:P50196,rdaa:architectOf,,,,,,,,,,,,,,,,
rdaa:P50197,rdaa:filmmakerOf,,,,,,,,,,,,,,,,
rdaa:P50198,rdaa:productionDesignerOf,,,,,,,,,,,,,,,,
rdaa:P50199,rdaa:distributorOf,,,,,,,,,,,,,,,,
rdaa:P50200,rdaa:producerOfAnUnpublishedResourceOf,,,,,,,,,,,,,,,,
rdaa:P50201,rdaa:producerOf,,,,,,,,,,,,,,,,
rdaa:P50202,rdaa:manufacturerOf,,,,,,,,,,,,,,,,
rdaa:P50203,rdaa:publisherOf,,,,,,,,,,,,,,,,
rdaa:P50204,rdaa:creatorOf,,,,,,,,,,,,,,,,
rdaa:P50205,rdaa:directorOf,,,,,,,,,,,,,,,,
rdaa:P50206,rdaa:restorationistOf,,,,,,,,,,,,,,,,
rdaa:P50207,rdaa:directorOfPhotographyOf,,,,,,,,,,,,,,,,
rdaa:P50208,rdaa:dedicateeOf,,,,,,,,,,,,,,,,
rdaa:P50209,rdaa:addresseeOf,,,,,,,,,,,,,,,,
rdaa:P50210,rdaa:dedicateeOfItemOf,,,,,,,,,,,,,,,,
rdaa:P50211,rdaa:consultantOf,,,,,,,,,,,,,,,,
rdaa:P50212,rdaa:minuteTakerOf,,,,,,,,,,,,,,,,
rdaa:P50213,rdaa:filmProducerOf,,,,,,,,,,,,,,,,
rdaa:P50214,rdaa:radioProducerOf,,,,,,,,,,,,,,,,
rdaa:P50215,rdaa:televisionProducerOf,,,,,,,,,,,,,,,,
rdaa:P50216,rdaa:writerOfAddedLyricsOf,,,,,,,,,,,,,,,,
rdaa:P50217,rdaa:voiceActorOf,,,,,,,,,,,,,,,,
rdaa:P50218,rdaa:relatedCorporateBody,,,,,,,,,,,,,,,,
rdaa:P50219,rdaa:relatedFamily,,,,,,,,,,,,,,,,
rdaa:P50220,rdaa:relatedPerson,,,,,,,,,,,,,,,,
rdaa:P50221,rdaa:landscapeArchitectOf,,,,,,,,,,,,,,,,
rdaa:P50222,rdaa:sculptorOf,,,,,,,,,,,,,,,,
rdaa:P50223,rdaa:screenwriterOf,,,,,,,,,,,,,,,,
rdaa:P50224,rdaa:lyricistOf,,,,,,,,,,,,,,,,
rdaa:P50225,rdaa:librettistOf,,,,,,,,,,,,,,,,
rdaa:P50226,rdaa:sponsoringBodyOf,,,,,,,,,,,,,,,,
rdaa:P50227,rdaa:writerOfAfterwordOf,,,,,,,,,,,,,,,,
rdaa:P50228,rdaa:writerOfPostfaceOf,,,,,,,,,,,,,,,,
rdaa:P50229,rdaa:predecessorOfSplit,,,,,,,,,,,,,,,,
rdaa:P50230,rdaa:membershipCorporateBody,,,,,,,,,,,,,,,,
rdaa:P50231,rdaa:corporateMember,,,,,,,,,,,,,,,,
rdaa:P50232,rdaa:componentOfMerger,,,,,,,,,,,,,,,,
rdaa:P50233,rdaa:family,,,,,,,,,,,,,,,,
rdaa:P50234,rdaa:officiatedCorporateBody,,,,,,,,,,,,,,,,
rdaa:P50235,rdaa:languageOfTheFamily,,,,,,,,,,,,,,,,
rdaa:P50236,rdaa:periodOfActivityOfTheCorporateBody,,,,,,,,,,,,,,,,
rdaa:P50237,rdaa:typeOfCorporateBody,,,,,,,,,,,,,,,,
rdaa:P50238,rdaa:typeOfJurisdiction,,,,,,,,,,,,,,,,
rdaa:P50239,rdaa:otherDesignation,,,,,,,,,,,,,,,,
rdaa:P50240,rdaa:broaderAffiliatedBody,,,,,,,,,,,,,,,,
rdaa:P50241,rdaa:localAffiliate,,,,,,,,,,,,,,,,
rdaa:P50242,rdaa:papermakerOf,,,,,,,,,,,,,,,,
rdaa:P50243,rdaa:visualEffectsProviderOf,,,,,,,,,,,,,,,,
rdaa:P50244,rdaa:specialEffectsProviderOf,,,,,,,,,,,,,,,,
rdaa:P50245,rdaa:lettererOf,,,,,,,,,,,,,,,,
rdaa:P50246,rdaa:calligrapherOf,,,,,,,,,,,,,,,,
rdaa:P50247,rdaa:bookArtistOf,,,,,,,,,,,,,,,,
rdaa:P50248,rdaa:rapporteurOf,,,,,,,,,,,,,,,,
rdaa:P50249,rdaa:subjectOfPerson,,,,,,,,,,,,,,,,
rdaa:P50250,rdaa:subjectOfFamily,,,,,,,,,,,,,,,,
rdaa:P50251,rdaa:subjectOfCorporateBody,,,,,,,,,,,,,,,,
rdaa:P50252,rdaa:graduate,,,,,,,,,,,,,,,,
rdaa:P50253,rdaa:graduateOf,,,,,,,,,,,,,,,,
rdaa:P50254,rdaa:writerOfForewordOf,,,,,,,,,,,,,,,,
rdaa:P50255,rdaa:soundDesignerOf,,,,,,,,,,,,,,,,
rdaa:P50256,rdaa:lightingDesignerOf,,,,,,,,,,,,,,,,
rdaa:P50257,rdaa:degreeCommitteeMemberOf,,,,,,,,,,,,,,,,
rdaa:P50258,rdaa:defendantCorporateBodyOf,,,,,,,,,,,,,,,,
rdaa:P50259,rdaa:defendantPersonOf,,,,,,,,,,,,,,,,
rdaa:P50260,rdaa:otherPlaceAssociatedWithTheCorporateBody,,,,,,,,,,,,,,,,
rdae:P20001,rdae:contentType,,,,,,,,,,,,,,,,
rdae:P20002,rdae:identifierForTheExpression,,,,,,,,,,,,,,,,
rdae:P20003,rdae:otherDistinguishingCharacteristicOfTheExpression,,,,,,,,,,,,,,,,
rdae:P20004,rdae:dateOfCapture,,,,,,,,,,,,,,,,
rdae:P20005,rdae:award,,,,,,,,,,,,,,,,
rdae:P20006,rdae:languageOfExpression,,,,,,,,,,,,,,,,
rdae:P20007,rdae:languageOfTheContent,,,,,,,,,,,,,,,,
rdae:P20009,rdae:adaptedAsMotionPictureExpression,,,,,,,,,,,,,,,,
rdae:P20010,rdae:noteOnChangesInContentCharacteristics,,,,,,,,,,,,,,,,
rdae:P20011,rdae:conductor,,,,,,,,,,,,,,,,
rdae:P20012,rdae:actor,,,,,,,,,,,,,,,,
rdae:P20013,rdae:onScreenPresenter,,,,,,,,,,,,,,,,
rdae:P20014,rdae:dancer,,,,,,,,,,,,,,,,
rdae:P20015,rdae:teacher,,,,,,,,,,,,,,,,
rdae:P20016,rdae:host,,,,,,,,,,,,,,,,
rdae:P20017,rdae:moderator,,,,,,,,,,,,,,,,
rdae:P20018,rdae:puppeteer,,,,,,,,,,,,,,,,
rdae:P20019,rdae:panelist,,,,,,,,,,,,,,,,
rdae:P20020,rdae:instrumentalist,,,,,,,,,,,,,,,,
rdae:P20021,rdae:commentator,,,,,,,,,,,,,,,,
rdae:P20022,rdae:narrator,,,,,,,,,,,,,,,,
rdae:P20023,rdae:storyteller,,,,,,,,,,,,,,,,
rdae:P20024,rdae:speaker,,,,,,,,,,,,,,,,
rdae:P20025,rdae:singer,,,,,,,,,,,,,,,,
rdae:P20026,rdae:composerExpression,,,,,,,,,,,,,,,,
rdae:P20027,rdae:surveyor,,,,,,,,,,,,,,,,
rdae:P20028,rdae:animator,,,,,,,,,,,,,,,,
rdae:P20029,rdae:arrangerOfMusic,,,,,,,,,,,,,,,,
rdae:P20030,rdae:writerOfAddedText,,,,,,,,,,,,,,,,
rdae:P20031,rdae:stageDirector,,,,,,,,,,,,,,,,
rdae:P20032,rdae:interviewerExpression,,,,,,,,,,,,,,,,
rdae:P20033,rdae:draftsman,,,,,,,,,,,,,,,,
rdae:P20034,rdae:transcriber,,,,,,,,,,,,,,,,
rdae:P20035,rdae:musicalDirector,,,,,,,,,,,,,,,,
rdae:P20036,rdae:costumeDesigner,,,,,,,,,,,,,,,,
rdae:P20037,rdae:translator,,,,,,,,,,,,,,,,
rdae:P20038,rdae:artDirector,,,,,,,,,,,,,,,,
rdae:P20039,rdae:performer,,,,,,,,,,,,,,,,
rdae:P20040,rdae:courtReporter,,,,,,,,,,,,,,,,
rdae:P20041,rdae:writerOfPreface,,,,,,,,,,,,,,,,
rdae:P20042,rdae:cartographerExpression,,,,,,,,,,,,,,,,
rdae:P20043,rdae:choreographerExpression,,,,,,,,,,,,,,,,
rdae:P20044,rdae:writerOfAddedCommentary,,,,,,,,,,,,,,,,
rdae:P20045,rdae:writerOfIntroduction,,,,,,,,,,,,,,,,
rdae:P20046,rdae:writerOfSupplementaryTextualContent,,,,,,,,,,,,,,,,
rdae:P20047,rdae:intervieweeExpression,,,,,,,,,,,,,,,,
rdae:P20048,rdae:editor,,,,,,,,,,,,,,,,
rdae:P20049,rdae:abridger,,,,,,,,,,,,,,,,
rdae:P20050,rdae:recordingEngineer,,,,,,,,,,,,,,,,
rdae:P20051,rdae:illustrator,,,,,,,,,,,,,,,,
rdae:P20052,rdae:recordist,,,,,,,,,,,,,,,,
rdae:P20053,rdae:contributor,,,,,,,,,,,,,,,,
rdae:P20054,rdae:presenter,,,,,,,,,,,,,,,,
rdae:P20055,rdae:editorOfMovingImageWork,,,,,,,,,,,,,,,,
rdae:P20056,rdae:productionDesigner,,,,,,,,,,,,,,,,
rdae:P20058,rdae:minuteTaker,,,,,,,,,,,,,,,,
rdae:P20059,rdae:manifestationOfExpression,,,,,,,,,,,,,,,,
rdae:P20060,rdae:adaptedAsRadioProgramExpression,,,,,,,,,,,,,,,,
rdae:P20061,rdae:formOfTactileNotation,,,,,,,,,,,,,,,,
rdae:P20062,rdae:formOfNotation,,,,,,,,,,,,,,,,
rdae:P20063,rdae:formOfNotatedMovement,,,,,,,,,,,,,,,,
rdae:P20064,rdae:formOfMusicalNotation,,,,,,,,,,,,,,,,
rdae:P20065,rdae:script,,,,,,,,,,,,,,,,
rdae:P20066,rdae:adaptedAsTelevisionProgramExpression,,,,,,,,,,,,,,,,
rdae:P20067,rdae:adaptedAsVideoExpression,,,,,,,,,,,,,,,,
rdae:P20068,rdae:writerOfAddedLyrics,,,,,,,,,,,,,,,,
rdae:P20069,rdae:summarizationOfTheContent,,,,,,,,,,,,,,,,
rdae:P20070,rdae:voiceActor,,,,,,,,,,,,,,,,
rdae:P20071,rdae:noteOnExpression,,,,,,,,,,,,,,,,
rdae:P20073,rdae:dramatizedAsExpression,,,,,,,,,,,,,,,,
rdae:P20074,rdae:containedInExpression,,,,,,,,,,,,,,,,
rdae:P20075,rdae:replacedInPartByExpression,,,,,,,,,,,,,,,,
rdae:P20076,rdae:replacedByExpression,,,,,,,,,,,,,,,,
rdae:P20077,rdae:adaptedInVerseAsExpression,,,,,,,,,,,,,,,,
rdae:P20078,rdae:dubbedVersionOf,,,,,,,,,,,,,,,,
rdae:P20079,rdae:dubbedVersion,,,,,,,,,,,,,,,,
rdae:P20080,rdae:cadenzaExpression,,,,,,,,,,,,,,,,
rdae:P20081,rdae:variationsBasedOnExpression,,,,,,,,,,,,,,,,
rdae:P20082,rdae:modifiedByVariationAsExpression,,,,,,,,,,,,,,,,
rdae:P20083,rdae:cadenzaComposedForExpression,,,,,,,,,,,,,,,,
rdae:P20084,rdae:librettoForExpression,,,,,,,,,,,,,,,,
rdae:P20085,rdae:incidentalMusicExpression,,,,,,,,,,,,,,,,
rdae:P20086,rdae:remadeAsExpression,,,,,,,,,,,,,,,,
rdae:P20087,rdae:setToMusicAsExpression,,,,,,,,,,,,,,,,
rdae:P20088,rdae:adaptedAsNovelExpression,,,,,,,,,,,,,,,,
rdae:P20089,rdae:appendixToExpression,,,,,,,,,,,,,,,,
rdae:P20090,rdae:abstractedInExpression,,,,,,,,,,,,,,,,
rdae:P20091,rdae:indexedInExpression,,,,,,,,,,,,,,,,
rdae:P20092,rdae:adaptedAsChoreographyExpression,,,,,,,,,,,,,,,,
rdae:P20093,rdae:errataExpression,,,,,,,,,,,,,,,,
rdae:P20094,rdae:illustrationsExpression,,,,,,,,,,,,,,,,
rdae:P20095,rdae:adaptedAsMotionPictureScreenplayExpression,,,,,,,,,,,,,,,,
rdae:P20096,rdae:adaptedAsScreenplayExpression,,,,,,,,,,,,,,,,
rdae:P20097,rdae:adaptedAsTelevisionScreenplayExpression,,,,,,,,,,,,,,,,
rdae:P20098,rdae:adaptedAsVideoScreenplayExpression,,,,,,,,,,,,,,,,
rdae:P20099,rdae:adaptedAsRadioScriptExpression,,,,,,,,,,,,,,,,
rdae:P20100,rdae:complementedByExpression,,,,,,,,,,,,,,,,
rdae:P20101,rdae:continuedInPartByExpression,,,,,,,,,,,,,,,,
rdae:P20102,rdae:screenplayForExpression,,,,,,,,,,,,,,,,
rdae:P20103,rdae:incidentalMusicForExpression,,,,,,,,,,,,,,,,
rdae:P20104,rdae:abstractedAsExpression,,,,,,,,,,,,,,,,
rdae:P20105,rdae:augmentedByExpression,,,,,,,,,,,,,,,,
rdae:P20106,rdae:summarizedAsExpression,,,,,,,,,,,,,,,,
rdae:P20107,rdae:catalogueExpression,,,,,,,,,,,,,,,,
rdae:P20108,rdae:concordanceExpression,,,,,,,,,,,,,,,,
