"RDA element,RDA recording method,Alignment,M21 Bibliographic encoding"
"television director agent,unstructured description,aligns with,500 ** $a"
"television director agent,unstructured description,aligns with,508 ** $a"
"television director agent,structured description,aligns with,""700 ** $a, b, c, d, g, q, u"""
"television director agent,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"television director agent,identifier,aligns with,700 ** $0"
"television director agent,identifier,aligns with,710 ** $0"
"television director agent,IRI,aligns with,700 ** $1"
"television director agent,IRI,aligns with,710 ** $1"
"dramatized as work,unstructured description,aligns with,500 ** $a"
"dramatized as work,structured description,aligns with,""700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"""
"dramatized as work,structured description,aligns with,""710 ** $a, b, c, d, f, g, k, l, n, p, t, u"""
"dramatized as work,structured description,aligns with,""711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"""
"dramatized as work,structured description,aligns with,""730 ** $a, d, f, g, n, p, r, t"""
"dramatized as work,structured description,aligns with,""787 ** $a, c, g, m, n, s, t"""
"dramatized as work,identifier,aligns with,700 ** $0"
"dramatized as work,identifier,aligns with,700 ** $x"
"dramatized as work,identifier,aligns with,710 ** $0"
"dramatized as work,identifier,aligns with,710 ** $x"
"dramatized as work,identifier,aligns with,711 ** $0"
"dramatized as work,identifier,aligns with,711 ** $x"
"dramatized as work,identifier,aligns with,730 ** $0"
"dramatized as work,identifier,aligns with,730 ** $x"
"dramatized as work,identifier,aligns with,787 ** $o"
"dramatized as work,identifier,aligns with,787 ** $r"
"dramatized as work,identifier,aligns with,787 ** $u"
"dramatized as work,identifier,aligns with,787 ** $w"
"dramatized as work,identifier,aligns with,787 ** $x"
"dramatized as work,identifier,aligns with,787 ** $y"
"dramatized as work,IRI,aligns with,700 ** $1"
"dramatized as work,IRI,aligns with,710 ** $1"
"dramatized as work,IRI,aligns with,711 ** $1"
"dramatized as work,IRI,aligns with,730 ** $1"
"enacting jurisdiction,unstructured description,aligns with,500 ** $a"
"enacting jurisdiction,structured description,aligns with,""110 ** $a, b, c, d, g, u"""
"enacting jurisdiction,structured description,aligns with,""710 ** $a, b, c, d, g, u"""
"enacting jurisdiction,identifier,aligns with,110 ** $0"
"enacting jurisdiction,identifier,aligns with,710 ** $0"
"enacting jurisdiction,IRI,aligns with,110 ** $1"
"enacting jurisdiction,IRI,aligns with,710 ** $1"
"part of work,unstructured description,aligns with,490 ** $a"
"part of work,structured description,aligns with,""700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"""
"part of work,structured description,aligns with,""710 ** $a, b, c, d, f, g, k, l, n, p, t, u"""
"part of work,structured description,aligns with,""711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"""
"part of work,structured description,aligns with,""730 ** $a, d, f, g, n, p, r, t"""
"part of work,structured description,aligns with,""773 ** $a, g, m, n, p, s, t"""
"part of work,structured description,aligns with,""800 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"""
"part of work,structured description,aligns with,""810 ** $a, b, c, d, f, g, k, l, n, p, t, u"""
"part of work,structured description,aligns with,""811 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"""
"part of work,structured description,aligns with,""830 ** $a, d, f, g, n, p, r, t, v"""
"part of work,identifier,aligns with,490 ** $x"
"part of work,identifier,aligns with,700 ** $0"
"part of work,identifier,aligns with,700 ** $x"
"part of work,identifier,aligns with,710 ** $0"
"part of work,identifier,aligns with,710 ** $x"
"part of work,identifier,aligns with,711 ** $0"
"part of work,identifier,aligns with,711 ** $x"
"part of work,identifier,aligns with,730 ** $0"
"part of work,identifier,aligns with,730 ** $x"
"part of work,identifier,aligns with,773 ** $o"
"part of work,identifier,aligns with,773 ** $r"
"part of work,identifier,aligns with,773 ** $u"
"part of work,identifier,aligns with,773 ** $w"
"part of work,identifier,aligns with,773 ** $x"
"part of work,identifier,aligns with,773 ** $y"
"part of work,identifier,aligns with,800 ** $0"
"part of work,identifier,aligns with,800 ** $w"
"part of work,identifier,aligns with,800 ** $x"
"part of work,identifier,aligns with,810 ** $0"
"part of work,identifier,aligns with,810 ** $w"
"part of work,identifier,aligns with,810 ** $x"
"part of work,identifier,aligns with,811 ** $0"
"part of work,identifier,aligns with,811 ** $w"
"part of work,identifier,aligns with,811 ** $x"
"part of work,identifier,aligns with,830 ** $0"
"part of work,identifier,aligns with,830 ** $w"
"part of work,identifier,aligns with,830 ** $x"
"part of work,IRI,aligns with,700 ** $1"
"part of work,IRI,aligns with,710 ** $1"
"part of work,IRI,aligns with,711 ** $1"
"part of work,IRI,aligns with,730 ** $1"
"part of work,IRI,aligns with,800 ** $1"
"part of work,IRI,aligns with,810 ** $1"
"part of work,IRI,aligns with,811 ** $1"
"part of work,IRI,aligns with,830 ** $1"
"sequel work,unstructured description,aligns with,500 ** $a"
"sequel work,structured description,aligns with,""785 ** $a, c, g, m, n, s, t"""
"sequel work,identifier,aligns with,785 ** $o"
"sequel work,identifier,aligns with,785 ** $r"
"sequel work,identifier,aligns with,785 ** $u"
"sequel work,identifier,aligns with,785 ** $w"
"sequel work,identifier,aligns with,785 ** $x"
"sequel work,identifier,aligns with,785 ** $y"
"replaced in part by work,unstructured description,aligns with,500 ** $a"
"replaced in part by work,structured description,aligns with,""785 *3 $a, c, g, m, n, s, t"""
"replaced in part by work,identifier,aligns with,785 *3 $o"
"replaced in part by work,identifier,aligns with,785 *3 $r"
"replaced in part by work,identifier,aligns with,785 *3 $u"
"replaced in part by work,identifier,aligns with,785 *3 $w"
"replaced in part by work,identifier,aligns with,785 *3 $x"
"replaced in part by work,identifier,aligns with,785 *3 $y"
"replaced by work,unstructured description,aligns with,500 ** $a"
"replaced by work,structured description,aligns with,""785 *2 $a, c, g, m, n, s, t"""
"replaced by work,identifier,aligns with,785 *2 $o"
"replaced by work,identifier,aligns with,785 *2 $r"
"replaced by work,identifier,aligns with,785 *2 $u"
"replaced by work,identifier,aligns with,785 *2 $w"
"replaced by work,identifier,aligns with,785 *2 $x"
"replaced by work,identifier,aligns with,785 *2 $y"
"adapted in verse as work,unstructured description,aligns with,500 ** $a"
"adapted in verse as work,structured description,aligns with,""700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"""
"adapted in verse as work,structured description,aligns with,""710 ** $a, b, c, d, f, g, k, l, n, p, t, u"""
"adapted in verse as work,structured description,aligns with,""711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"""
"adapted in verse as work,structured description,aligns with,""730 ** $a, d, f, g, n, p, r, t"""
"adapted in verse as work,structured description,aligns with,""787 ** $a, c, g, m, n, s, t"""
"adapted in verse as work,identifier,aligns with,700 ** $0"
"adapted in verse as work,identifier,aligns with,700 ** $x"
"adapted in verse as work,identifier,aligns with,710 ** $0"
"adapted in verse as work,identifier,aligns with,710 ** $x"
"adapted in verse as work,identifier,aligns with,711 ** $0"
"adapted in verse as work,identifier,aligns with,711 ** $x"
"adapted in verse as work,identifier,aligns with,730 ** $0"
"adapted in verse as work,identifier,aligns with,730 ** $x"
"adapted in verse as work,identifier,aligns with,787 ** $o"
"adapted in verse as work,identifier,aligns with,787 ** $r"
"adapted in verse as work,identifier,aligns with,787 ** $u"
"adapted in verse as work,identifier,aligns with,787 ** $w"
"adapted in verse as work,identifier,aligns with,787 ** $x"
"adapted in verse as work,identifier,aligns with,787 ** $y"
"adapted in verse as work,IRI,aligns with,700 ** $1"
"adapted in verse as work,IRI,aligns with,710 ** $1"
"adapted in verse as work,IRI,aligns with,711 ** $1"
"adapted in verse as work,IRI,aligns with,730 ** $1"
"coordinates of cartographic content,unstructured description,aligns with,500 ** $a"
"coordinates of cartographic content,structured description,aligns with,""034 ** $d, e, f, g, s, t, j, k, m, n, r, s, t"""
"coordinates of cartographic content,structured description,aligns with,""255 ** $c, f, g"""
"coordinates of cartographic content,identifier,aligns with,034 ** $0"
"coordinates of cartographic content,IRI,aligns with,034 ** $1"
"adapted as motion picture work,unstructured description,aligns with,500 ** $a"
"adapted as motion picture work,structured description,aligns with,""700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"""
"adapted as motion picture work,structured description,aligns with,""710 ** $a, b, c, d, f, g, k, l, n, p, t, u"""
"adapted as motion picture work,structured description,aligns with,""711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"""
"adapted as motion picture work,structured description,aligns with,""730 ** $a, d, f, g, n, p, r, t"""
"adapted as motion picture work,structured description,aligns with,""787 ** $a, c, g, m, n, s, t"""
"adapted as motion picture work,identifier,aligns with,700 ** $0"
"adapted as motion picture work,identifier,aligns with,700 ** $x"
"adapted as motion picture work,identifier,aligns with,710 ** $0"
"adapted as motion picture work,identifier,aligns with,710 ** $x"
"adapted as motion picture work,identifier,aligns with,711 ** $0"
"adapted as motion picture work,identifier,aligns with,711 ** $x"
"adapted as motion picture work,identifier,aligns with,730 ** $0"
"adapted as motion picture work,identifier,aligns with,730 ** $x"
"adapted as motion picture work,identifier,aligns with,787 ** $o"
"adapted as motion picture work,identifier,aligns with,787 ** $r"
"adapted as motion picture work,identifier,aligns with,787 ** $u"
"adapted as motion picture work,identifier,aligns with,787 ** $w"
"adapted as motion picture work,identifier,aligns with,787 ** $x"
"adapted as motion picture work,identifier,aligns with,787 ** $y"
"adapted as motion picture work,IRI,aligns with,700 ** $1"
"adapted as motion picture work,IRI,aligns with,710 ** $1"
"adapted as motion picture work,IRI,aligns with,711 ** $1"
"adapted as motion picture work,IRI,aligns with,730 ** $1"
"cadenza work,unstructured description,aligns with,500 ** $a"
"cadenza work,structured description,aligns with,""700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"""
"cadenza work,structured description,aligns with,""710 ** $a, b, c, d, f, g, k, l, n, p, t, u"""
"cadenza work,structured description,aligns with,""711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"""
"cadenza work,structured description,aligns with,""730 ** $a, d, f, g, n, p, r, t"""
"cadenza work,structured description,aligns with,""787 ** $a, c, g, m, n, s, t"""
"cadenza work,identifier,aligns with,700 ** $0"
"cadenza work,identifier,aligns with,700 ** $x"
"cadenza work,identifier,aligns with,710 ** $0"
"cadenza work,identifier,aligns with,710 ** $x"
"cadenza work,identifier,aligns with,711 ** $0"
"cadenza work,identifier,aligns with,711 ** $x"
"cadenza work,identifier,aligns with,730 ** $0"
"cadenza work,identifier,aligns with,730 ** $x"
"cadenza work,identifier,aligns with,787 ** $o"
"cadenza work,identifier,aligns with,787 ** $r"
"cadenza work,identifier,aligns with,787 ** $u"
"cadenza work,identifier,aligns with,787 ** $w"
"cadenza work,identifier,aligns with,787 ** $x"
"cadenza work,identifier,aligns with,787 ** $y"
"cadenza work,IRI,aligns with,700 ** $1"
"cadenza work,IRI,aligns with,710 ** $1"
"cadenza work,IRI,aligns with,711 ** $1"
"cadenza work,IRI,aligns with,730 ** $1"
"variations based on work,unstructured description,aligns with,500 ** $a"
"variations based on work,structured description,aligns with,""700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"""
"variations based on work,structured description,aligns with,""710 ** $a, b, c, d, f, g, k, l, n, p, t, u"""
"variations based on work,structured description,aligns with,""711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"""
"variations based on work,structured description,aligns with,""730 ** $a, d, f, g, n, p, r, t"""
"variations based on work,structured description,aligns with,""787 ** $a, c, g, m, n, s, t"""
"variations based on work,identifier,aligns with,700 ** $0"
"variations based on work,identifier,aligns with,700 ** $x"
"variations based on work,identifier,aligns with,710 ** $0"
"variations based on work,identifier,aligns with,710 ** $x"
"variations based on work,identifier,aligns with,711 ** $0"
"variations based on work,identifier,aligns with,711 ** $x"
"variations based on work,identifier,aligns with,730 ** $0"
"variations based on work,identifier,aligns with,730 ** $x"
"variations based on work,identifier,aligns with,787 ** $o"
"variations based on work,identifier,aligns with,787 ** $r"
"variations based on work,identifier,aligns with,787 ** $u"
"variations based on work,identifier,aligns with,787 ** $w"
"variations based on work,identifier,aligns with,787 ** $x"
"variations based on work,identifier,aligns with,787 ** $y"
"variations based on work,IRI,aligns with,700 ** $1"
"variations based on work,IRI,aligns with,710 ** $1"
"variations based on work,IRI,aligns with,711 ** $1"
"variations based on work,IRI,aligns with,730 ** $1"
"modified by variation as work,unstructured description,aligns with,500 ** $a"
"modified by variation as work,structured description,aligns with,""700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"""
"modified by variation as work,structured description,aligns with,""710 ** $a, b, c, d, f, g, k, l, n, p, t, u"""
"modified by variation as work,structured description,aligns with,""711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"""
"modified by variation as work,structured description,aligns with,""730 ** $a, d, f, g, n, p, r, t"""
"modified by variation as work,structured description,aligns with,""787 ** $a, c, g, m, n, s, t"""
"modified by variation as work,identifier,aligns with,700 ** $0"
"modified by variation as work,identifier,aligns with,700 ** $x"
"modified by variation as work,identifier,aligns with,710 ** $0"
"modified by variation as work,identifier,aligns with,710 ** $x"
"modified by variation as work,identifier,aligns with,711 ** $0"
"modified by variation as work,identifier,aligns with,711 ** $x"
"modified by variation as work,identifier,aligns with,730 ** $0"
"modified by variation as work,identifier,aligns with,730 ** $x"
"modified by variation as work,identifier,aligns with,787 ** $o"
"modified by variation as work,identifier,aligns with,787 ** $r"
"modified by variation as work,identifier,aligns with,787 ** $u"
"modified by variation as work,identifier,aligns with,787 ** $w"
"modified by variation as work,identifier,aligns with,787 ** $x"
"modified by variation as work,identifier,aligns with,787 ** $y"
"modified by variation as work,IRI,aligns with,700 ** $1"
"modified by variation as work,IRI,aligns with,710 ** $1"
"modified by variation as work,IRI,aligns with,711 ** $1"
"modified by variation as work,IRI,aligns with,730 ** $1"
"cadenza composed for work,unstructured description,aligns with,500 ** $a"
"cadenza composed for work,structured description,aligns with,""700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"""
"cadenza composed for work,structured description,aligns with,""710 ** $a, b, c, d, f, g, k, l, n, p, t, u"""
"cadenza composed for work,structured description,aligns with,""711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"""
"cadenza composed for work,structured description,aligns with,""730 ** $a, d, f, g, n, p, r, t"""
"cadenza composed for work,structured description,aligns with,""787 ** $a, c, g, m, n, s, t"""
"cadenza composed for work,identifier,aligns with,700 ** $0"
"cadenza composed for work,identifier,aligns with,700 ** $x"
"cadenza composed for work,identifier,aligns with,710 ** $0"
"cadenza composed for work,identifier,aligns with,710 ** $x"
"cadenza composed for work,identifier,aligns with,711 ** $0"
"cadenza composed for work,identifier,aligns with,711 ** $x"
"cadenza composed for work,identifier,aligns with,730 ** $0"
"cadenza composed for work,identifier,aligns with,730 ** $x"
"cadenza composed for work,identifier,aligns with,787 ** $o"
"cadenza composed for work,identifier,aligns with,787 ** $r"
"cadenza composed for work,identifier,aligns with,787 ** $u"
"cadenza composed for work,identifier,aligns with,787 ** $w"
"cadenza composed for work,identifier,aligns with,787 ** $x"
"cadenza composed for work,identifier,aligns with,787 ** $y"
"cadenza composed for work,IRI,aligns with,700 ** $1"
"cadenza composed for work,IRI,aligns with,710 ** $1"
"cadenza composed for work,IRI,aligns with,711 ** $1"
"cadenza composed for work,IRI,aligns with,730 ** $1"
"libretto for work,unstructured description,aligns with,500 ** $a"
"libretto for work,structured description,aligns with,""700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"""
"libretto for work,structured description,aligns with,""710 ** $a, b, c, d, f, g, k, l, n, p, t, u"""
"libretto for work,structured description,aligns with,""711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"""
"libretto for work,structured description,aligns with,""730 ** $a, d, f, g, n, p, r, t"""
"libretto for work,structured description,aligns with,""787 ** $a, c, g, m, n, s, t"""
"libretto for work,identifier,aligns with,700 ** $0"
"libretto for work,identifier,aligns with,700 ** $x"
"libretto for work,identifier,aligns with,710 ** $0"
"libretto for work,identifier,aligns with,710 ** $x"
"libretto for work,identifier,aligns with,711 ** $0"
"libretto for work,identifier,aligns with,711 ** $x"
"libretto for work,identifier,aligns with,730 ** $0"
"libretto for work,identifier,aligns with,730 ** $x"
"libretto for work,identifier,aligns with,787 ** $o"
"libretto for work,identifier,aligns with,787 ** $r"
"libretto for work,identifier,aligns with,787 ** $u"
"libretto for work,identifier,aligns with,787 ** $w"
"libretto for work,identifier,aligns with,787 ** $x"
"libretto for work,identifier,aligns with,787 ** $y"
"libretto for work,IRI,aligns with,700 ** $1"
"libretto for work,IRI,aligns with,710 ** $1"
"libretto for work,IRI,aligns with,711 ** $1"
"libretto for work,IRI,aligns with,730 ** $1"
"incidental music work,unstructured description,aligns with,500 ** $a"
"incidental music work,structured description,aligns with,""700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"""
"incidental music work,structured description,aligns with,""710 ** $a, b, c, d, f, g, k, l, n, p, t, u"""
"incidental music work,structured description,aligns with,""711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"""
"incidental music work,structured description,aligns with,""730 ** $a, d, f, g, n, p, r, t"""
"incidental music work,structured description,aligns with,""787 ** $a, c, g, m, n, s, t"""
"incidental music work,identifier,aligns with,700 ** $0"
"incidental music work,identifier,aligns with,700 ** $x"
"incidental music work,identifier,aligns with,710 ** $0"
"incidental music work,identifier,aligns with,710 ** $x"
"incidental music work,identifier,aligns with,711 ** $0"
"incidental music work,identifier,aligns with,711 ** $x"
"incidental music work,identifier,aligns with,730 ** $0"
"incidental music work,identifier,aligns with,730 ** $x"
"incidental music work,identifier,aligns with,787 ** $o"
"incidental music work,identifier,aligns with,787 ** $r"
"incidental music work,identifier,aligns with,787 ** $u"
"incidental music work,identifier,aligns with,787 ** $w"
"incidental music work,identifier,aligns with,787 ** $x"
"incidental music work,identifier,aligns with,787 ** $y"
"incidental music work,IRI,aligns with,700 ** $1"
"incidental music work,IRI,aligns with,710 ** $1"
"incidental music work,IRI,aligns with,711 ** $1"
"incidental music work,IRI,aligns with,730 ** $1"
"remade as work,unstructured description,aligns with,500 ** $a"
"remade as work,structured description,aligns with,""700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"""
"remade as work,structured description,aligns with,""710 ** $a, b, c, d, f, g, k, l, n, p, t, u"""
"remade as work,structured description,aligns with,""711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"""
"remade as work,structured description,aligns with,""730 ** $a, d, f, g, n, p, r, t"""
"remade as work,structured description,aligns with,""787 ** $a, c, g, m, n, s, t"""
"remade as work,identifier,aligns with,700 ** $0"
"remade as work,identifier,aligns with,700 ** $x"
"remade as work,identifier,aligns with,710 ** $0"
"remade as work,identifier,aligns with,710 ** $x"
"remade as work,identifier,aligns with,711 ** $0"
"remade as work,identifier,aligns with,711 ** $x"
"remade as work,identifier,aligns with,730 ** $0"
"remade as work,identifier,aligns with,730 ** $x"
"remade as work,identifier,aligns with,787 ** $o"
"remade as work,identifier,aligns with,787 ** $r"
"remade as work,identifier,aligns with,787 ** $u"
"remade as work,identifier,aligns with,787 ** $w"
"remade as work,identifier,aligns with,787 ** $x"
"remade as work,identifier,aligns with,787 ** $y"
"remade as work,IRI,aligns with,700 ** $1"
"remade as work,IRI,aligns with,710 ** $1"
"remade as work,IRI,aligns with,711 ** $1"
"remade as work,IRI,aligns with,730 ** $1"
"set to music as work,unstructured description,aligns with,500 ** $a"
"set to music as work,structured description,aligns with,""700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"""
"set to music as work,structured description,aligns with,""710 ** $a, b, c, d, f, g, k, l, n, p, t, u"""
"set to music as work,structured description,aligns with,""711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"""
"set to music as work,structured description,aligns with,""730 ** $a, d, f, g, n, p, r, t"""
"set to music as work,structured description,aligns with,""787 ** $a, c, g, m, n, s, t"""
"set to music as work,identifier,aligns with,700 ** $0"
"set to music as work,identifier,aligns with,700 ** $x"
"set to music as work,identifier,aligns with,710 ** $0"
"set to music as work,identifier,aligns with,710 ** $x"
"set to music as work,identifier,aligns with,711 ** $0"
"set to music as work,identifier,aligns with,711 ** $x"
"set to music as work,identifier,aligns with,730 ** $0"
"set to music as work,identifier,aligns with,730 ** $x"
"set to music as work,identifier,aligns with,787 ** $o"
"set to music as work,identifier,aligns with,787 ** $r"
"set to music as work,identifier,aligns with,787 ** $u"
"set to music as work,identifier,aligns with,787 ** $w"
"set to music as work,identifier,aligns with,787 ** $x"
"set to music as work,identifier,aligns with,787 ** $y"
"set to music as work,IRI,aligns with,700 ** $1"
"set to music as work,IRI,aligns with,710 ** $1"
"set to music as work,IRI,aligns with,711 ** $1"
"set to music as work,IRI,aligns with,730 ** $1"
"adapted as novel work,unstructured description,aligns with,500 ** $a"
"adapted as novel work,structured description,aligns with,""700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"""
"adapted as novel work,structured description,aligns with,""710 ** $a, b, c, d, f, g, k, l, n, p, t, u"""
"adapted as novel work,structured description,aligns with,""711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"""
"adapted as novel work,structured description,aligns with,""730 ** $a, d, f, g, n, p, r, t"""
"adapted as novel work,structured description,aligns with,""787 ** $a, c, g, m, n, s, t"""
"adapted as novel work,identifier,aligns with,700 ** $0"
"adapted as novel work,identifier,aligns with,700 ** $x"
"adapted as novel work,identifier,aligns with,710 ** $0"
"adapted as novel work,identifier,aligns with,710 ** $x"
"adapted as novel work,identifier,aligns with,711 ** $0"
"adapted as novel work,identifier,aligns with,711 ** $x"
"adapted as novel work,identifier,aligns with,730 ** $0"
"adapted as novel work,identifier,aligns with,730 ** $x"
"adapted as novel work,identifier,aligns with,787 ** $o"
"adapted as novel work,identifier,aligns with,787 ** $r"
"adapted as novel work,identifier,aligns with,787 ** $u"
"adapted as novel work,identifier,aligns with,787 ** $w"
"adapted as novel work,identifier,aligns with,787 ** $x"
"adapted as novel work,identifier,aligns with,787 ** $y"
"adapted as novel work,IRI,aligns with,700 ** $1"
"adapted as novel work,IRI,aligns with,710 ** $1"
"adapted as novel work,IRI,aligns with,711 ** $1"
"adapted as novel work,IRI,aligns with,730 ** $1"
"appellee person,unstructured description,aligns with,500 ** $a"
"appellee person,structured description,aligns with,""700 0* $a, b, c, d, g, q, u"""
"appellee person,structured description,aligns with,""700 1* $a, b, c, d, g, q, u"""
"appellee person,identifier,aligns with,700 0* $0"
"appellee person,identifier,aligns with,700 1* $0"
"appellee person,IRI,aligns with,700 0* $1"
"appellee person,IRI,aligns with,700 1* $1"
"medium,unstructured description,aligns with,500 ** $a"
"medium,structured description,aligns with,""700 0* $a, b, c, d, g, q, u"""
"medium,structured description,aligns with,""700 1* $a, b, c, d, g, q, u"""
"medium,identifier,aligns with,700 0* $0"
"medium,identifier,aligns with,700 1* $0"
"medium,IRI,aligns with,700 0* $1"
"medium,IRI,aligns with,700 1* $1"
"degree supervisor,unstructured description,aligns with,500 ** $a"
"degree supervisor,unstructured description,aligns with,502 ** $a"
"degree supervisor,structured description,aligns with,502 ** $g"
"degree supervisor,structured description,aligns with,""700 0* $a, b, c, d, g, q, u"""
"degree supervisor,structured description,aligns with,""700 1* $a, b, c, d, g, q, u"""
"degree supervisor,identifier,aligns with,700 0* $0"
